Data_ID	Sequence_Name	RNA_Size	ORF_Size	Ficket_Score	Hexamer_Score	Coding_Probability	Coding_Label
0	TCONS_00000201 	2136	327	0.7214	0.0837760964779	0.13337553884554	no
1	TCONS_00000202 	1876	387	1.0342	0.0896272015006	0.45375389037007	yes
2	TCONS_00028283 	670	222	1.1084	0.135586253894	0.2042985652206	no
3	TCONS_00028284 	355	195	0.8094	0.108556853678	0.060067752072289	no
4	TCONS_00028285 	765	75	0.8938	-0.103056225684	0.0054611728565931	no
5	TCONS_00000302 	2642	345	0.7897	0.0769571199674	0.17682958152967	no
6	TCONS_00028286 	514	168	0.5258	-0.0407466645736	0.0071837014705944	no
7	TCONS_00028287 	1298	324	0.7387	0.199578171278	0.26229834309751	no
8	TCONS_00028288 	862	252	0.6035	-0.215059610379	0.0070444789587634	no
9	TCONS_00028289 	643	0	0	0	0.00029273857491688	no
10	TCONS_00000515 	3409	387	0.6011	0.0807599341888	0.15473695400896	no
11	TCONS_00000626 	5020	492	0.7108	0.061672384251	0.39129690510327	yes
12	TCONS_00000627 	401	141	0.5979	0.00628816032861	0.0092237640018247	no
13	TCONS_00000624 	4336	492	0.7108	0.061672384251	0.40123245089805	yes
14	TCONS_00000625 	4336	492	0.7108	0.061672384251	0.40123245089805	yes
15	TCONS_00028290 	923	162	0.5325	-0.183601019278	0.0026236222055851	no
16	TCONS_00028291 	960	120	0.9224	0.0661874991882	0.028674681067333	no
17	TCONS_00028292 	1107	324	0.8427	0.0408736883164	0.14886450090985	no
18	TCONS_00028293 	815	297	0.6704	-0.0662990044945	0.036732079282773	no
19	TCONS_00028294 	393	93	0.7339	-0.07514815	0.0049394265423511	no
20	TCONS_00028296 	655	255	0.8451	-0.270410456379	0.010881033464399	no
21	TCONS_00028297 	1440	120	0.7514	-0.440058482218	0.00059193086421985	no
22	TCONS_00028298 	489	99	0.9655	0.00529592186635	0.018204587985178	no
23	TCONS_00028299 	7132	273	0.619	-0.138165438043	0.010501175270901	no
24	TCONS_00028300 	893	192	0.6137	-0.0150580619215	0.014112554192656	no
25	TCONS_00028301 	1354	270	0.5459	-0.121484864005	0.012781926087965	no
26	TCONS_00028302 	1436	192	0.4637	-0.180547030704	0.0028906680711575	no
27	TCONS_00028303 	824	270	0.7974	-0.135341726072	0.02618674275829	no
28	TCONS_00028304 	811	81	0.8115	-0.101214720642	0.0045459479326023	no
29	TCONS_00028305 	1147	279	1.0788	-0.195766936413	0.045084591884689	no
30	TCONS_00028306 	2039	123	0.5979	-0.327641582819	0.00076449766825459	no
31	TCONS_00028307 	1783	210	0.5336	-0.143596995082	0.0054523105604319	no
32	TCONS_00028308 	1293	105	0.7112	-0.379382376652	0.00066805357047663	no
33	TCONS_00028309 	501	252	0.6781	-0.282895193214	0.0058234981739927	no
34	TCONS_00028310 	1575	213	0.7754	-0.150752666523	0.011558538284554	no
35	TCONS_00028311 	846	234	0.7054	-0.127964128022	0.014107062126396	no
36	TCONS_00028312 	1096	87	0.9742	-0.246988090469	0.0030405765411928	no
37	TCONS_00028313 	1842	168	0.9294	0.0938628149571	0.05455114403556	no
38	TCONS_00028314 	6222	198	0.9718	-0.1703055333	0.012067996987591	no
39	TCONS_00028315 	1474	174	0.6881	-0.258001977143	0.0028812985624252	no
40	TCONS_00028316 	1047	117	0.92	-0.284516708146	0.0027775305867247	no
41	TCONS_00028317 	824	315	0.9355	-0.0524411607284	0.1045004798707	no
42	TCONS_00028318 	1112	375	0.7724	0.117094064878	0.28698337581233	no
43	TCONS_00002118 	4371	384	0.7431	0.0201064676111	0.14892318246865	no
44	TCONS_00002119 	3936	342	0.4834	0.0455366827595	0.056315963452458	no
45	TCONS_00016534 	2347	597	0.5475	0.015656783429	0.50969066628382	yes
46	TCONS_00002122 	4194	597	0.7558	-0.00772483228914	0.60508850753422	yes
47	TCONS_00002120 	3950	384	0.7431	0.0201064676111	0.152192263852	no
48	TCONS_00002121 	3911	345	0.6625	-0.0136912052182	0.068294610030652	no
49	TCONS_00016535 	5398	378	0.5939	-0.304384008591	0.01118967854324	no
50	TCONS_00016536 	4628	378	0.5939	-0.304384008591	0.011718978660885	no
51	TCONS_00016537 	2795	606	0.5415	0.0856676047181	0.63466021845486	yes
52	TCONS_00028319 	413	126	0.5004	-0.312307998486	0.00071005025520684	no
53	TCONS_00028320 	1295	312	0.5702	-0.0251693950149	0.040043632638046	no
54	TCONS_00028321 	987	162	0.8071	-0.0429704783433	0.015471360396995	no
55	TCONS_00028322 	631	90	0.6527	-0.319985517124	0.00072828245120231	no
56	TCONS_00028323 	1041	126	0.9093	0.039917694879	0.024667314058582	no
57	TCONS_00028324 	617	177	0.7319	-0.086970022525	0.011038014427632	no
58	TCONS_00028325 	1263	324	0.867	0.114456911554	0.23311087155842	no
59	TCONS_00028326 	2020	168	0.5424	-0.133215639517	0.0037638639716846	no
60	TCONS_00028327 	2508	735	0.5423	0.170834717175	0.92616509876738	yes
61	TCONS_00028328 	1722	480	0.6016	-0.0717866169087	0.16859581170125	no
62	TCONS_00028329 	3239	519	0.7515	0.0662501184257	0.52904052810006	yes
63	TCONS_00028330 	804	159	0.8514	-0.00215967205949	0.022624086181775	no
64	TCONS_00028331 	857	162	0.7477	0.162751161749	0.04863083404859	no
65	TCONS_00028332 	1020	81	0.7714	-0.233576715854	0.0016562222983197	no
66	TCONS_00028333 	1670	192	0.8728	0.0613622287405	0.048567464286586	no
67	TCONS_00028334 	636	150	0.7232	0.0189209241017	0.016038804095019	no
68	TCONS_00028335 	753	360	0.5162	0.0735204957285	0.10497605800998	no
69	TCONS_00028336 	2449	198	0.6843	-0.285056377301	0.0029093456600579	no
70	TCONS_00028337 	1195	333	0.8297	-0.0573560673966	0.087785793853925	no
71	TCONS_00028338 	884	228	0.5914	-0.191689442754	0.0061022589422832	no
72	TCONS_00028339 	1179	102	0.8137	0.0518927250209	0.015270180823364	no
73	TCONS_00017415 	4304	324	0.6729	-0.0594134582355	0.041754524358344	no
74	TCONS_00028340 	1443	255	0.5145	-0.23374555821	0.0047055740317959	no
75	TCONS_00003332 	536	111	0.4211	-0.0794897670179	0.0021694828344018	no
76	TCONS_00028343 	2749	411	0.7926	-0.153058662216	0.087827220164254	no
77	TCONS_00028344 	1346	363	0.6117	-0.129778229647	0.039585497617433	no
78	TCONS_00028345 	418	87	0.8077	-0.39741816588	0.00069713257303895	no
79	TCONS_00028346 	1019	111	0.8322	-0.293810405212	0.0018628071177401	no
80	TCONS_00003419 	1601	282	0.788	-0.0209713259223	0.056903380020096	no
81	TCONS_00003420 	1439	279	0.9285	0.108454853183	0.17734517590259	no
82	TCONS_00028347 	919	105	0.902	0.0177274009052	0.016850449818165	no
83	TCONS_00028348 	3570	282	0.5488	0.0408364193275	0.0365851650333	no
84	TCONS_00028349 	1582	240	0.5937	-0.0344605683586	0.018701103753203	no
85	TCONS_00028350 	2688	231	0.8471	-0.0255073725587	0.036633500069395	no
86	TCONS_00028351 	1082	174	0.5961	-0.036251703699	0.0094917809653963	no
87	TCONS_00028354 	1382	90	0.6764	-0.134162348682	0.0025519545216854	no
88	TCONS_00028355 	1183	105	0.7254	-0.274599518021	0.0014035363617826	no
89	TCONS_00028356 	974	213	0.517	-0.0729371435404	0.0089215801282445	no
90	TCONS_00028357 	1306	183	0.5523	-0.219483988794	0.0027008428820843	no
91	TCONS_00028358 	938	204	0.7271	-0.0802870306306	0.014863919041452	no
92	TCONS_00018723 	998	180	0.8706	-0.140408201418	0.012092023886945	no
93	TCONS_00018724 	307	132	0.7065	-0.215628376508	0.0027530757087577	no
94	TCONS_00028359 	701	180	1.1792	-0.104678679885	0.039944451085183	no
95	TCONS_00028360 	894	141	0.4343	-0.145306114468	0.0019822144051092	no
96	TCONS_00028361 	1320	333	0.5482	-0.127582979709	0.024204982801032	no
97	TCONS_00028362 	1063	195	0.8316	-0.475309369361	0.0013879774582708	no
98	TCONS_00028363 	1299	183	0.8853	-0.262677957847	0.0057660928989246	no
99	TCONS_00028364 	574	126	1.0208	-0.0133270723496	0.025328698506668	no
100	TCONS_00028365 	898	111	0.9201	-0.388429111188	0.0013250266666065	no
101	TCONS_00028366 	985	120	0.8832	0.0462916335759	0.022342017131686	no
102	TCONS_00028367 	437	69	0.8712	-0.0051755149765	0.0092455370856297	no
103	TCONS_00028368 	1122	462	0.5006	-0.134042302695	0.077117745837119	no
104	TCONS_00028369 	393	132	0.3992	-0.174650749246	0.0013687732699463	no
105	TCONS_00028370 	565	207	0.6226	-0.0781591618908	0.01150906130652	no
106	TCONS_00028371 	1323	177	0.805	-0.0847252445172	0.013470643963844	no
107	TCONS_00028372 	1067	369	0.5933	0.0515913342526	0.12266624747868	no
108	TCONS_00028373 	1419	327	0.7316	0.0526301977272	0.1190462477381	no
109	TCONS_00028374 	1135	357	0.6881	-0.0931385456885	0.059580153647276	no
110	TCONS_00028375 	950	201	0.8888	-0.0332982484011	0.032024297219835	no
111	TCONS_00028376 	907	75	0.956	-0.5300601914	0.0003946644657666	no
112	TCONS_00028377 	1199	171	0.6177	-0.0219747850293	0.01071643726197	no
113	TCONS_00028378 	502	153	0.7042	0.102244633914	0.026973388642838	no
114	TCONS_00005036 	1329	147	0.7727	-0.260061268365	0.0027938767113678	no
115	TCONS_00028379 	1645	309	0.6608	-0.156617844658	0.021587319242256	no
116	TCONS_00019487 	1256	168	0.985	-0.271622547071	0.0063347766957253	no
117	TCONS_00028380 	718	180	1.0929	0.18880832626	0.18035396120831	no
118	TCONS_00028381 	4913	321	0.8796	-0.0692544872301	0.067973569269403	no
119	TCONS_00005385 	1324	189	0.6824	-0.189393015192	0.0052709088497983	no
120	TCONS_00005386 	1500	189	0.6824	-0.189393015192	0.0052151735735356	no
121	TCONS_00028382 	1366	126	1.0588	-0.194973772309	0.0083412158485509	no
122	TCONS_00028383 	1413	210	0.5522	-0.28420992206	0.0023435735901842	no
123	TCONS_00028384 	756	117	1.0872	-0.41967964868	0.0019600672376355	no
124	TCONS_00028385 	929	195	0.9086	-0.297033119529	0.0057579889661726	no
125	TCONS_00028386 	1915	78	1.0346	-0.310131226113	0.0020935005883352	no
126	TCONS_00028387 	1135	108	0.8773	-0.401820182451	0.0010121037769461	no
127	TCONS_00028388 	632	156	0.7323	-0.502186934136	0.00057333983160375	no
128	TCONS_00028389 	1153	135	0.825	-0.365350153013	0.0014606361701282	no
129	TCONS_00028390 	1186	198	0.7185	-0.155011340765	0.00821002358634	no
130	TCONS_00028391 	823	228	0.4757	-0.230498753641	0.0033049227092844	no
131	TCONS_00028392 	5621	348	0.8316	-0.228641284005	0.027319041519765	no
132	TCONS_00028393 	1035	201	0.8192	-0.253167542181	0.0061555370817113	no
133	TCONS_00028394 	819	81	1.0936	-0.0837535716374	0.012275269153519	no
134	TCONS_00028395 	1152	228	0.8223	-0.0760533951726	0.026076706348945	no
135	TCONS_00028396 	1710	243	0.5338	-0.389797571692	0.0015469395562833	no
136	TCONS_00028397 	862	141	0.611	-0.307978525532	0.0011830605017124	no
137	TCONS_00028398 	759	81	0.7089	-0.475743277306	0.00027985050849174	no
138	TCONS_00028399 	1208	195	0.7127	-0.313462518977	0.0027529773513939	no
139	TCONS_00028400 	3168	204	0.5903	-0.133019834346	0.0060164095207904	no
140	TCONS_00028401 	1337	228	0.8443	-0.11899552961	0.02091968032832	no
141	TCONS_00028402 	1587	216	0.5201	-0.14017173665	0.0057701010546206	no
142	TCONS_00028403 	1321	153	0.672	-0.0710345923856	0.0075357909167079	no
143	TCONS_00028404 	567	189	0.7897	-0.417615399604	0.0017195033835489	no
144	TCONS_00028405 	252	75	0.8128	-0.257560283488	0.0015810715418995	no
145	TCONS_00028406 	289	102	0.6504	-0.427243125412	0.00041410517546205	no
146	TCONS_00028407 	2078	186	0.3762	-0.239395636475	0.0013440942674884	no
147	TCONS_00028408 	2977	189	0.9368	-0.29550453407	0.0052622595738985	no
148	TCONS_00028409 	1840	186	1.0033	-0.276375423096	0.0076143442837057	no
149	TCONS_00028410 	2792	183	0.5564	-0.439721967298	0.00058521695445336	no
150	TCONS_00028411 	1392	174	0.6823	-0.408157846381	0.001056993117575	no
151	TCONS_00028412 	1922	174	0.6814	-0.315092707276	0.0018852264503974	no
152	TCONS_00028413 	1629	120	0.8106	-0.340334904829	0.0013604463387706	no
153	TCONS_00028414 	973	93	0.3802	-0.441748023931	0.0001401669275845	no
154	TCONS_00028415 	876	267	0.6825	-0.259334781658	0.0079136051046088	no
155	TCONS_00028416 	1975	288	0.5769	-0.229231728959	0.0081306764149484	no
156	TCONS_00028417 	909	96	0.7724	-0.105575514821	0.0045667329399817	no
157	TCONS_00028418 	1414	186	0.8108	-0.229112422316	0.0058410527195987	no
158	TCONS_00028420 	738	162	0.5058	-0.241860741773	0.0016623051115773	no
159	TCONS_00028421 	2954	240	0.6288	-0.0119467200369	0.022211757792587	no
160	TCONS_00028422 	1249	210	0.7814	0.0264003037432	0.036514402680923	no
161	TCONS_00028423 	688	156	0.5599	0.165762212874	0.02663763488095	no
162	TCONS_00028424 	2580	153	0.7421	-0.20729998985	0.0035529908217525	no
163	TCONS_00028425 	507	117	0.8336	-0.517320772324	0.00047147866721053	no
164	TCONS_00028426 	1796	192	0.4209	-0.17069966118	0.0026390591711723	no
165	TCONS_00028427 	866	159	0.9885	-0.102794452712	0.017928101459457	no
166	TCONS_00028428 	309	99	0.7958	-0.0435215533598	0.0079053083381381	no
167	TCONS_00028429 	635	99	0.8344	-0.294052419441	0.001683969452582	no
168	TCONS_00028430 	3744	198	0.7133	0.147060014879	0.048734723808675	no
169	TCONS_00028431 	1732	150	1.0429	-0.185109233618	0.010710743230652	no
170	TCONS_00028432 	871	141	0.6218	-0.340051585749	0.00098997450321334	no
171	TCONS_00028433 	1837	105	0.6545	-0.190152371945	0.0018843765115645	no
172	TCONS_00028434 	1471	168	0.9767	0.131830182899	0.080861231789985	no
173	TCONS_00028435 	866	177	0.9298	-0.110331979127	0.017244223057173	no
174	TCONS_00028436 	1493	312	0.7517	-0.250573072624	0.016192337011061	no
175	TCONS_00028437 	990	87	0.8309	-0.176712311573	0.00310238695439	no
176	TCONS_00028443 	428	114	0.75	-0.0787122246917	0.0063458997596094	no
177	TCONS_00028444 	906	204	0.6031	-0.427810584043	0.0010311916691059	no
178	TCONS_00028445 	3654	234	0.5646	-0.138737455758	0.0071683396051606	no
179	TCONS_00028446 	1050	270	0.8129	-0.402872867535	0.004738197705676	no
180	TCONS_00028447 	2162	408	0.6621	-0.196811079353	0.045819239685709	no
181	TCONS_00028448 	1435	138	0.9346	0.126457737754	0.051143854463068	no
182	TCONS_00028449 	1442	93	0.8919	-0.256152031232	0.0023107066710516	no
183	TCONS_00028450 	469	114	0.6708	-0.316707578122	0.0010309280745998	no
184	TCONS_00028451 	807	258	0.6549	0.0193566597035	0.040271192744091	no
185	TCONS_00028452 	3223	117	0.9548	-0.0638303721575	0.011553740098361	no
186	TCONS_00028453 	2193	354	0.6178	-0.160065155044	0.028792145377862	no
187	TCONS_00028454 	921	192	1.0139	0.0575619942568	0.075069921802015	no
188	TCONS_00028455 	1845	207	0.7957	0.00184232549388	0.030510849321474	no
189	TCONS_00028456 	6932	234	0.4792	-0.131020205523	0.0047384646123649	no
190	TCONS_00028457 	1177	240	0.4135	-0.30816533555	0.0018165374156709	no
191	TCONS_00028458 	1842	321	0.879	-0.233252479341	0.028847811220186	no
192	TCONS_00028459 	789	180	0.8145	-0.319864025731	0.0031680540312427	no
193	TCONS_00028460 	1172	171	0.9478	-0.122750978934	0.015492673232663	no
194	TCONS_00028461 	985	87	1.0162	-0.132939708341	0.0073844820951943	no
195	TCONS_00028462 	1170	147	0.8839	0.0583597151622	0.031795150450704	no
196	TCONS_00028463 	1840	114	0.5959	0.00181318379143	0.0061092408678281	no
197	TCONS_00028464 	927	252	0.5978	-0.388932046023	0.0021973984680797	no
198	TCONS_00028465 	1128	174	0.9347	-0.00573823293076	0.032759429936695	no
199	TCONS_00028466 	793	378	0.7361	0.0316941345589	0.17709161689983	no
200	TCONS_00028467 	3357	222	0.5711	-0.0685582752535	0.010365868131932	no
201	TCONS_00028468 	1115	81	0.7154	-0.331643563462	0.0007234486483168	no
202	TCONS_00028469 	950	276	0.4418	-0.220348051779	0.0052866243840264	no
203	TCONS_00028470 	5109	222	0.8576	0.00949589552948	0.037338466889215	no
204	TCONS_00007297 	11101	234	0.408	-0.0494907888377	0.005037269139236	no
205	TCONS_00007298 	5502	234	0.9952	-0.00348011621133	0.057478878515103	no
206	TCONS_00007299 	1307	135	0.4677	-0.27706554418	0.00084401406705703	no
207	TCONS_00028471 	1808	246	0.5536	-0.0648481832118	0.014262283883651	no
208	TCONS_00028472 	593	105	0.5299	-0.3674609774	0.00042674528294888	no
209	TCONS_00028473 	1392	123	0.9912	-0.18523489744	0.006962157419934	no
210	TCONS_00028474 	733	114	0.8256	-0.124906670625	0.0058261001469578	no
211	TCONS_00028475 	614	219	0.5631	-0.270530062292	0.0030689538642988	no
212	TCONS_00028476 	721	129	1.0243	-0.101134461652	0.014841142261415	no
213	TCONS_00028477 	3149	216	0.6438	-0.150800842459	0.0072057802998901	no
214	TCONS_00028478 	690	138	0.6549	-0.422476098011	0.00062415286345514	no
215	TCONS_00028479 	3047	177	0.599	-0.207941127491	0.0028456113618969	no
216	TCONS_00028480 	933	117	0.6295	-0.175622921034	0.0023052432917678	no
217	TCONS_00028481 	987	258	0.6142	0.0679520368076	0.047926544793506	no
218	TCONS_00028482 	2714	249	0.8075	-0.130208070906	0.019993708231537	no
219	TCONS_00028483 	992	249	0.6382	-0.234515416913	0.006638554236532	no
220	TCONS_00021693 	6939	264	0.7134	-0.221623122071	0.0074970326848879	no
221	TCONS_00021694 	4096	264	0.7134	-0.221623122071	0.008897038999181	no
222	TCONS_00028484 	847	135	0.9145	-0.430576560313	0.0012816929815332	no
223	TCONS_00028485 	982	129	0.9147	-0.224984962683	0.0046172790379954	no
224	TCONS_00028486 	2117	228	0.445	-0.0764402594021	0.0076384239606312	no
225	TCONS_00028487 	3728	324	0.4935	-0.0318510292033	0.029886419909196	no
226	TCONS_00028488 	266	84	0.5816	-0.53836665055	0.00013207033096136	no
227	TCONS_00028489 	534	144	0.4384	-0.0655504629219	0.0035835971120281	no
228	TCONS_00021800 	2293	246	0.8158	-0.129924288839	0.020410941339909	no
229	TCONS_00007800 	665	159	0.6421	-0.00934669102465	0.011402227206184	no
230	TCONS_00028490 	701	132	0.6852	-0.0659853726442	0.0067253974601386	no
231	TCONS_00028491 	999	210	0.7077	-0.0420050278768	0.019060817598112	no
232	TCONS_00028492 	5313	228	0.7933	-0.135829103018	0.012633084633143	no
233	TCONS_00028493 	1810	162	1.0657	-0.105147574368	0.021856542682902	no
234	TCONS_00028494 	4617	450	0.8813	0.0282476985755	0.3643652554132	yes
235	TCONS_00028495 	3442	222	0.7497	0.0170422105183	0.031139230457081	no
236	TCONS_00028496 	1344	210	0.7733	-0.130416216282	0.012875856657871	no
237	TCONS_00028497 	1745	153	0.7521	-0.0321017534073	0.012157831589377	no
238	TCONS_00028498 	20055	438	0.7235	-0.204200870686	0.025231419856608	no
239	TCONS_00028499 	1568	228	0.6678	-0.149406030736	0.0098022996794684	no
240	TCONS_00028500 	1170	108	0.6932	-0.476591856124	0.00034592375438006	no
241	TCONS_00028501 	2700	180	0.6245	-0.550277752246	0.00034015687639133	no
242	TCONS_00028502 	1120	162	0.6106	-0.127765667291	0.0047801231232387	no
243	TCONS_00028503 	728	108	0.8164	-0.344012439746	0.0012546147287512	no
244	TCONS_00028504 	1246	132	0.5397	-0.664447249029	7.9738725011635E-05	no
245	TCONS_00028505 	1392	213	0.8701	-0.113353827312	0.0199744094761	no
246	TCONS_00028506 	873	147	0.6728	-0.231477937446	0.0025350573549158	no
247	TCONS_00028507 	2025	129	0.7942	-0.0385942717393	0.010104470664384	no
248	TCONS_00028508 	664	132	0.5908	-0.0911394348829	0.0042543569591697	no
249	TCONS_00028509 	7897	267	0.4872	-0.300371779552	0.0021457898012245	no
250	TCONS_00028510 	1210	147	0.8448	-0.329821008898	0.0022281517617377	no
251	TCONS_00028511 	2053	159	0.9728	-0.0889687615408	0.017405448881724	no
252	TCONS_00008004 	9474	375	0.625	-0.135480513902	0.02796214211122	no
253	TCONS_00008006 	3303	237	0.9996	-0.350689856757	0.0073200184797938	no
254	TCONS_00008008 	281	159	0.923	-0.0319553593233	0.023989404846648	no
255	TCONS_00008009 	2538	150	1.1327	-0.199087066242	0.012311674180223	no
256	TCONS_00028512 	1275	186	0.5399	-0.794688217773	6.0434739068227E-05	no
257	TCONS_00028513 	1504	147	0.7436	-0.0154335854212	0.012561939136761	no
258	TCONS_00008155 	1125	177	0.8057	-0.193865215217	0.0066925206370072	no
259	TCONS_00028515 	515	165	0.9323	0.0489451342392	0.043445200739169	no
260	TCONS_00028516 	627	201	1.028	-0.0676338117558	0.039985209604048	no
261	TCONS_00028517 	1445	231	0.616	-0.17325602453	0.0074238523512729	no
262	TCONS_00028518 	1220	186	0.7286	-0.143740906899	0.0080037107699817	no
263	TCONS_00028519 	740	93	0.7184	-0.322155290393	0.00090544706893856	no
264	TCONS_00028520 	1586	159	1.0304	-0.301109493459	0.0053530065250338	no
265	TCONS_00008309 	1307	267	0.6873	-0.393103410196	0.0032510673754924	no
266	TCONS_00028521 	1048	252	0.8322	-0.292512679253	0.0085558207335946	no
267	TCONS_00028522 	1615	255	0.7779	-0.0278724345303	0.040006769070759	no
268	TCONS_00022355 	2506	366	1.1983	0.141615918172	0.60061645947012	yes
269	TCONS_00008356 	607	186	0.7336	-0.0620211479342	0.014381405597181	no
270	TCONS_00008357 	376	186	0.7336	-0.0620211479342	0.014581578163089	no
271	TCONS_00028523 	595	93	0.6903	-0.135935026833	0.0028540706686479	no
272	TCONS_00028524 	454	111	0.6851	-0.11557205443	0.0039311991734611	no
273	TCONS_00028525 	3156	384	0.4164	0.00589304183085	0.05788779129118	no
274	TCONS_00028526 	610	153	0.6585	-0.092131604215	0.0065672932563101	no
275	TCONS_00028527 	1052	120	0.574	-0.331053178207	0.00071276184427123	no
276	TCONS_00028528 	747	120	0.8125	-0.143356596968	0.0052800877662763	no
277	TCONS_00028529 	1995	141	0.8251	0.0924080433041	0.029568325954349	no
278	TCONS_00028530 	1133	177	0.6032	-0.00806855491094	0.012008399475872	no
279	TCONS_00028531 	853	69	0.8172	-0.145483695231	0.0030316027550154	no
280	TCONS_00028532 	1840	186	0.6896	-0.298316643659	0.0024712076720999	no
281	TCONS_00028533 	872	99	0.7003	-0.0458041273701	0.0055876363395571	no
282	TCONS_00028534 	2795	333	0.728	-0.153346936565	0.03256418243874	no
283	TCONS_00028535 	388	69	1.1352	0.182753875342	0.069068873446968	no
284	TCONS_00028536 	539	24	0.6079	-0.904201480796	6.5890576736704E-06	no
