test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
XLOC_002314	XLOC_002314	-	chr1:232185794-232198196	control	dengue	OK	0.403785	0.113196	-1.83476	-1.1081	0.0021	0.0407334	yes
XLOC_005141	XLOC_005141	-	chr1:111187511-111192620	control	dengue	OK	0.966189	0.235849	-2.03444	-1.24041	3e-04	0.0114929	yes
XLOC_005204	XLOC_005204	-	chr1:151916286-151918281	control	dengue	OK	2.88463	0.438811	-2.71672	-1.7555	5e-05	0.00294361	yes
XLOC_007864	XLOC_007864	-	chr10:47544887-47558386	control	dengue	OK	0.920888	0.252832	-1.86485	-1.377	3e-04	0.0114929	yes
XLOC_007866	XLOC_007866	-	chr10:48480882-48483177	control	dengue	OK	0.687422	0.0987799	-2.79891	-1.40713	0.0012	0.0287922	yes
XLOC_008077	XLOC_008077	-	chr10:125863120-125867370	control	dengue	OK	0.0439508	0.32544	2.88843	1.38025	0.0014	0.0316537	yes
XLOC_011293	XLOC_011293	-	chr11:128167672-128175895	control	dengue	OK	0.947084	0.321953	-1.55664	-1.31222	1e-04	0.00516162	yes
XLOC_011372	XLOC_011372	-	chr12:6275296-6282540	control	dengue	OK	0.69586	0.12211	-2.51062	-1.50752	1e-04	0.00516162	yes
XLOC_014103	XLOC_014103	-	chr12:9916487-9919194	control	dengue	OK	0.894372	0.173717	-2.36413	-1.46586	0.00015	0.00706918	yes
XLOC_014168	XLOC_014168	-	chr12:24304221-24318260	control	dengue	OK	0.329844	0.0423308	-2.96201	-1.73653	0.00015	0.00706918	yes
XLOC_014282	XLOC_014282	-	chr12:90124726-90130118	control	dengue	OK	2.14652	0.704671	-1.60698	-1.16956	5e-04	0.0166009	yes
XLOC_014284	XLOC_014284	-	chr12:90153320-90157905	control	dengue	OK	0.801168	0.174748	-2.19683	-1.30978	7e-04	0.0207378	yes
XLOC_015891	XLOC_015891	-	chr13:110247665-110259439	control	dengue	OK	0.334472	0.0561038	-2.57572	-1.29172	0.00185	0.0380044	yes
XLOC_015899	XLOC_015899	-	chr13:110302554-110311435	control	dengue	OK	0.322527	0.0855864	-1.91396	-1.15781	0.00185	0.0380044	yes
XLOC_017545	XLOC_017545	-	chr14:75740013-75745130	control	dengue	OK	1.06459	0.376735	-1.49868	-1.09982	0.0012	0.0287922	yes
XLOC_017980	XLOC_017980	-	chr14:52817738-52819995	control	dengue	OK	0.357224	0.0527981	-2.75827	-1.30015	0.00195	0.0392707	yes
XLOC_018137	XLOC_018137	-	chr14:106030722-106033991	control	dengue	OK	0.0634521	0.643712	3.34268	1.59775	7e-04	0.0207378	yes
XLOC_018139	XLOC_018139	-	chr14:106040161-106041591	control	dengue	OK	0.0745122	0.58811	2.98054	1.40201	0.0025	0.0455663	yes
XLOC_020121	XLOC_020121	-	chr15:101795198-101795941	control	dengue	OK	4.22196	0.724237	-2.54338	-1.70344	0.00125	0.0296445	yes
XLOC_022564	XLOC_022564	-	chr16:79413964-79416938	control	dengue	OK	0.335232	0.0671867	-2.31891	-1.17202	0.0023	0.043159	yes
XLOC_023298	XLOC_023298	-	chr17:41392157-41394794	control	dengue	OK	1.97071	0.747511	-1.39855	-1.13532	0.0017	0.0357602	yes
XLOC_025216	XLOC_025216	-	chr17:32696618-32699193	control	dengue	OK	0.0454949	0.326203	2.84199	1.29081	0.0024	0.044447	yes
XLOC_030628	XLOC_030628	-	chr2:192539919-192542621	control	dengue	OK	10.8471	4.20717	-1.36639	-1.42065	5e-05	0.00294361	yes
XLOC_030934	XLOC_030934	-	chr2:230158118-230168294	control	dengue	OK	2.56825	0.871662	-1.55894	-1.46561	5e-05	0.00294361	yes
XLOC_030935	XLOC_030935	-	chr2:230193977-230199600	control	dengue	OK	3.35456	1.22263	-1.45614	-1.27795	4e-04	0.0141203	yes
XLOC_033153	XLOC_033153	-	chr2:42350419-42353139	control	dengue	OK	0.407092	0.0947198	-2.10362	-1.18049	0.0025	0.0455663	yes
XLOC_033155	XLOC_033155	-	chr2:42358243-42361235	control	dengue	OK	0.659369	0.193439	-1.76921	-1.12267	0.0018	0.03731	yes
XLOC_033292	XLOC_033292	-	chr2:70366640-70372147	control	dengue	OK	3.05154	1.49216	-1.03214	-1.06034	0.0013	0.0302846	yes
XLOC_033512	XLOC_033512	-	chr2:143569787-143585366	control	dengue	OK	0.616806	0.139759	-2.14188	-1.56684	5e-05	0.00294361	yes
XLOC_033530	XLOC_033530	-	chr2:145411741-145424983	control	dengue	OK	1.29168	0.571789	-1.17569	-1.03746	0.00075	0.0215269	yes
XLOC_033647	XLOC_033647	-	chr2:187056262-187080698	control	dengue	OK	0.790984	0.165466	-2.25711	-1.78625	5e-05	0.00294361	yes
XLOC_033737	XLOC_033737	-	chr2:230174604-230180097	control	dengue	OK	1.33462	0.441832	-1.59486	-1.18434	0.00075	0.0215269	yes
XLOC_033754	XLOC_033754	-	chr2:232534530-232538308	control	dengue	OK	0.147214	0.569135	1.95085	1.22083	0.00095	0.0249724	yes
XLOC_033758	XLOC_033758	-	chr2:235216317-235219260	control	dengue	OK	0.7037	0.155663	-2.17654	-1.32944	0.001	0.025772	yes
XLOC_034197	XLOC_034197	-	chr20:43807886-43821573	control	dengue	OK	0.760613	0.250701	-1.60119	-1.04912	0.00075	0.0215269	yes
XLOC_035141	XLOC_035141	-	chr20:23121874-23125885	control	dengue	OK	0.517429	0.0866832	-2.57754	-1.32702	0.00085	0.0234827	yes
XLOC_036054	XLOC_036054	-	chr21:39682768-39685254	control	dengue	OK	0.79476	0.021362	-5.2174	-1.93836	0.0017	0.0357602	yes
XLOC_036055	XLOC_036055	-	chr21:39722858-39725690	control	dengue	OK	0.335278	0.0315009	-3.41189	-1.5642	0.001	0.025772	yes
XLOC_036070	XLOC_036070	-	chr21:44720488-44723696	control	dengue	OK	0.0274947	0.613244	4.47924	1.77789	0.00075	0.0215269	yes
XLOC_037232	XLOC_037232	-	chr22:23269434-23276400	control	dengue	OK	0.178098	0.724973	2.02526	1.48954	5e-05	0.00294361	yes
XLOC_037233	XLOC_037233	-	chr22:23276701-23280036	control	dengue	OK	0.108006	0.602506	2.47987	1.36313	0.00075	0.0215269	yes
XLOC_037314	XLOC_037314	-	chr22:47605724-47612381	control	dengue	OK	0.52859	0.124677	-2.08395	-1.18319	0.0028	0.0489058	yes
XLOC_039837	XLOC_039837	-	chr3:151872286-151923887	control	dengue	OK	1.44734	0.385165	-1.90986	-1.01993	0.00165	0.0351092	yes
XLOC_040457	XLOC_040457	-	chr3:141994805-141997383	control	dengue	OK	1.00989	0.299892	-1.75168	-1.08755	0.0025	0.0455663	yes
XLOC_040472	XLOC_040472	-	chr3:143802030-143807083	control	dengue	OK	0.33188	0.0383745	-3.11244	-1.45764	0.0011	0.0273915	yes
XLOC_040474	XLOC_040474	-	chr3:143820097-143827623	control	dengue	OK	0.331642	0.0406354	-3.02882	-1.42648	0.0012	0.0287922	yes
XLOC_040484	XLOC_040484	-	chr3:143867739-143872523	control	dengue	OK	0.323997	0.0373574	-3.11651	-1.35363	0.00215	0.041183	yes
XLOC_041418	XLOC_041418	-	chr4:117274126-117277021	control	dengue	OK	5.89608	0.618128	-3.25378	-2.44786	5e-05	0.00294361	yes
XLOC_043219	XLOC_043219	-	chr4:42673731-42675502	control	dengue	OK	0.347101	0.0505526	-2.7795	-1.2457	0.00235	0.0437409	yes
XLOC_043252	XLOC_043252	-	chr4:78773451-78776848	control	dengue	OK	2.08382	0.764842	-1.44599	-1.22691	0.00075	0.0215269	yes
XLOC_043328	XLOC_043328	-	chr4:122561273-122573348	control	dengue	OK	0.349651	0.115573	-1.5971	-1.0479	0.0021	0.0407334	yes
XLOC_043510	XLOC_043510	-	chr5:5754553-5797070	control	dengue	OK	0.292252	2.49634	3.09452	1.22968	5e-05	0.00294361	yes
