ID	C/NC	CODING_POTENTIAL_SCORE	EVIDENCE	UTR-DB_HITs	RNA-DB_HITs
TCONS_00049371 	noncoding 	-1.51798 	detail 	search 	search
TCONS_00161163 	noncoding 	-1.51515 	detail 	search 	search
TCONS_00288369 	noncoding 	-1.50964 	detail 	search 	search
TCONS_00201912 	noncoding 	-1.49211 	detail 	search 	search
TCONS_00075434 	noncoding 	-1.4913 	detail 	search 	search
TCONS_00299740 	noncoding 	-1.48794 	detail 	search 	search
TCONS_00233093 	noncoding 	-1.48788 	detail 	search 	search
TCONS_00261169 	noncoding 	-1.48582 	detail 	search 	search
TCONS_00309046 	noncoding 	-1.48226 	detail 	search 	search
TCONS_00261686 	noncoding 	-1.47498 	detail 	search 	search
TCONS_00233218 	noncoding 	-1.47373 	detail 	search 	search
TCONS_00261157 	noncoding 	-1.4727 	detail 	search 	search
TCONS_00220857 	noncoding 	-1.47217 	detail 	search 	search
TCONS_00117799 	noncoding 	-1.47215 	detail 	search 	search
TCONS_00080916 	noncoding 	-1.47027 	detail 	search 	search
TCONS_00027758 	noncoding 	-1.46777 	detail 	search 	search
TCONS_00288373 	noncoding 	-1.46777 	detail 	search 	search
TCONS_00092338 	noncoding 	-1.46666 	detail 	search 	search
TCONS_00309075 	noncoding 	-1.4639 	detail 	search 	search
TCONS_00247657 	noncoding 	-1.4529 	detail 	search 	search
TCONS_00276532 	noncoding 	-1.4489 	detail 	search 	search
TCONS_00027521 	noncoding 	-1.4454 	detail 	search 	search
TCONS_00057566 	noncoding 	-1.44186 	detail 	search 	search
TCONS_00220687 	noncoding 	-1.43838 	detail 	search 	search
TCONS_00183844 	noncoding 	-1.43783 	detail 	search 	search
TCONS_00075435 	noncoding 	-1.43528 	detail 	search 	search
TCONS_00201918 	noncoding 	-1.42741 	detail 	search 	search
TCONS_00039159 	noncoding 	-1.42716 	detail 	search 	search
TCONS_00276579 	noncoding 	-1.4244 	detail 	search 	search
TCONS_00183754 	noncoding 	-1.42325 	detail 	search 	search
TCONS_00117862 	noncoding 	-1.41981 	detail 	search 	search
TCONS_00261361 	noncoding 	-1.41801 	detail 	search 	search
TCONS_00299424 	noncoding 	-1.41633 	detail 	search 	search
TCONS_00183865 	noncoding 	-1.41215 	detail 	search 	search
TCONS_00136503 	noncoding 	-1.41164 	detail 	search 	search
TCONS_00075391 	noncoding 	-1.41138 	detail 	search 	search
TCONS_00142094 	noncoding 	-1.40747 	detail 	search 	search
TCONS_00233132 	noncoding 	-1.40555 	detail 	search 	search
TCONS_00138205 	noncoding 	-1.40496 	detail 	search 	search
TCONS_00075460 	noncoding 	-1.40487 	detail 	search 	search
TCONS_00247552 	noncoding 	-1.4037 	detail 	search 	search
TCONS_00117865 	noncoding 	-1.40302 	detail 	search 	search
TCONS_00039127 	noncoding 	-1.40292 	detail 	search 	search
TCONS_00092372 	noncoding 	-1.4023 	detail 	search 	search
TCONS_00247441 	noncoding 	-1.40195 	detail 	search 	search
TCONS_00075412 	noncoding 	-1.40126 	detail 	search 	search
TCONS_00288447 	noncoding 	-1.40087 	detail 	search 	search
TCONS_00288548 	noncoding 	-1.40079 	detail 	search 	search
TCONS_00028026 	noncoding 	-1.40065 	detail 	search 	search
TCONS_00288557 	noncoding 	-1.40053 	detail 	search 	search
TCONS_00080825 	noncoding 	-1.39965 	detail 	search 	search
TCONS_00075389 	noncoding 	-1.39932 	detail 	search 	search
TCONS_00247432 	noncoding 	-1.39801 	detail 	search 	search
TCONS_00039289 	noncoding 	-1.39747 	detail 	search 	search
TCONS_00136358 	noncoding 	-1.39666 	detail 	search 	search
TCONS_00027797 	noncoding 	-1.39563 	detail 	search 	search
TCONS_00080814 	noncoding 	-1.39527 	detail 	search 	search
TCONS_00057567 	noncoding 	-1.39518 	detail 	search 	search
TCONS_00028111 	noncoding 	-1.39425 	detail 	search 	search
TCONS_00039143 	noncoding 	-1.39195 	detail 	search 	search
TCONS_00299434 	noncoding 	-1.39145 	detail 	search 	search
TCONS_00201848 	noncoding 	-1.39085 	detail 	search 	search
TCONS_00183806 	noncoding 	-1.39002 	detail 	search 	search
TCONS_00027748 	noncoding 	-1.38986 	detail 	search 	search
TCONS_00233113 	noncoding 	-1.38985 	detail 	search 	search
TCONS_00184275 	noncoding 	-1.38932 	detail 	search 	search
TCONS_00299739 	noncoding 	-1.38919 	detail 	search 	search
TCONS_00276595 	noncoding 	-1.38887 	detail 	search 	search
TCONS_00136520 	noncoding 	-1.38876 	detail 	search 	search
TCONS_00299481 	noncoding 	-1.38847 	detail 	search 	search
TCONS_00075512 	noncoding 	-1.38799 	detail 	search 	search
TCONS_00080929 	noncoding 	-1.38756 	detail 	search 	search
TCONS_00075363 	noncoding 	-1.38706 	detail 	search 	search
