Data_ID	Sequence_Name	RNA_Size	ORF_Size	Ficket_Score	Hexamer_Score	Coding_Probability	Coding_Label
1	TCONS_00029653 	419	207	0.8842	0.16350663564	0.11643216058536	no
2	TCONS_00029654 	1409	279	0.7283	-0.03641809405	0.0423646765455	no
3	TCONS_00000232 	2260	378	1.1031	0.0627240971605	0.43357456859509	yes
4	TCONS_00000233 	1196	222	0.7055	0.140735544193	0.067642865604066	no
5	TCONS_00029655 	681	222	1.1084	0.135586253894	0.2041900117624	no
6	TCONS_00029656 	984	474	0.6432	0.116535572882	0.43989727990533	yes
7	TCONS_00029657 	760	75	0.8938	-0.103056225684	0.005462822021852	no
8	TCONS_00000344 	2391	345	0.7897	0.0769571199674	0.17905891756081	no
9	TCONS_00000345 	2093	345	0.7897	0.0769571199674	0.18173415883104	no
10	TCONS_00029658 	719	189	0.5234	-0.105803162682	0.00575905840087	no
11	TCONS_00029659 	1250	399	0.7298	0.2109275621	0.4567842453595	yes
12	TCONS_00029660 	1217	645	0.7174	-0.0448115201137	0.68155328819317	yes
13	TCONS_00029661 	643	0	0	0	0.000292738574917	no
14	TCONS_00000514 	4525	723	0.5525	0.0625411737375	0.83118610046863	yes
15	TCONS_00029662 	1147	237	0.6184	0.0274182674821	0.029882069811706	no
16	TCONS_00029663 	963	336	0.8179	0.0846901482192	0.1988216166164	no
17	TCONS_00029664 	1182	219	0.8565	0.00109244295229	0.042999695393207	no
18	TCONS_00000696 	5020	492	0.7108	0.061672384251	0.39129690510327	yes
19	TCONS_00000697 	401	141	0.5979	0.00628816032861	0.009223764001825	no
20	TCONS_00000694 	4336	492	0.7108	0.061672384251	0.40123245089805	yes
21	TCONS_00000695 	4336	492	0.7108	0.061672384251	0.40123245089805	yes
22	TCONS_00000698 	4336	492	0.7108	0.061672384251	0.40123245089805	yes
23	TCONS_00029665 	694	237	0.5335	-0.0395110310427	0.015348009383422	no
24	TCONS_00016066 	989	123	1.0706	-0.161457460163	0.010672558830644	no
25	TCONS_00029666 	1673	156	0.6385	-0.1445303448	0.004235656345254	no
26	TCONS_00029667 	948	120	0.9224	0.0661874991882	0.028694981953874	no
27	TCONS_00029668 	858	117	0.7395	-0.23659392629	0.002187839611918	no
28	TCONS_00029669 	1107	324	0.8427	0.0408736883164	0.14886450090985	no
29	TCONS_00029670 	550	153	0.8571	-0.0512695978923	0.015959064974704	no
30	TCONS_00001009 	1413	276	0.7556	0.267941568062	0.25816349540915	no
31	TCONS_00029671 	672	141	0.4711	-0.102851709612	0.002982072801173	no
32	TCONS_00029672 	1397	288	0.5725	-0.120808920391	0.016843218042114	no
33	TCONS_00029673 	2554	258	0.464	-0.322504475556	0.002163183411867	no
34	TCONS_00029674 	1326	375	0.8516	-0.13102144715	0.090101069017881	no
35	TCONS_00029675 	2064	324	0.6642	0.0543312360883	0.093330744935255	no
36	TCONS_00029676 	1086	480	0.6617	-0.0882856048241	0.18586625942179	no
37	TCONS_00029677 	7132	273	0.619	-0.138165438043	0.010501175270901	no
38	TCONS_00029678 	1128	186	0.543	-0.0924954355107	0.006311636240023	no
39	TCONS_00029679 	1364	162	0.8629	-0.164549257108	0.008134606971266	no
40	TCONS_00029680 	1278	159	0.4549	-0.265079808708	0.001139145055063	no
41	TCONS_00029681 	1208	162	1.069	-0.241445062485	0.009432356724645	no
42	TCONS_00029682 	1102	213	0.7162	-0.15537327707	0.009598571624596	no
43	TCONS_00016390 	1409	465	0.5123	-0.291708153844	0.030137641821738	no
44	TCONS_00029683 	2049	210	0.5336	-0.143596995082	0.005365425597229	no
45	TCONS_00029684 	1216	255	0.6261	-0.0511641691307	0.022218050135833	no
46	TCONS_00029685 	501	252	0.6781	-0.282895193214	0.005823498173993	no
47	TCONS_00029686 	1575	213	0.7754	-0.150752666523	0.011558538284554	no
48	TCONS_00029687 	1335	171	1.0898	-0.36713847341	0.004825182303004	no
49	TCONS_00029688 	1007	234	0.7054	-0.127964128022	0.013971745213091	no
50	TCONS_00029689 	2068	204	0.6181	-0.138299049032	0.006773443937935	no
51	TCONS_00029690 	978	243	0.7088	-0.353535733608	0.003553635485042	no
52	TCONS_00029691 	4962	426	0.6344	-0.155491584237	0.055947248197422	no
53	TCONS_00029692 	2228	123	0.8285	-0.112631586951	0.006413754496257	no
54	TCONS_00029693 	1541	174	0.6881	-0.258001977143	0.002869634409033	no
55	TCONS_00029694 	1047	117	0.92	-0.284516708146	0.002777530586725	no
56	TCONS_00029695 	586	216	0.9878	-0.304393040342	0.008984125548764	no
57	TCONS_00029696 	374	141	0.9338	0.211624381008	0.094151864007716	no
58	TCONS_00002268 	4458	384	0.7431	0.0201064676111	0.14825489097579	no
59	TCONS_00002269 	4023	342	0.4834	0.0455366827595	0.056035884173644	no
60	TCONS_00002270 	2383	213	0.8729	-0.11625240176	0.018639826332467	no
61	TCONS_00017259 	7055	597	0.5475	0.015656783429	0.43853856010275	yes
62	TCONS_00017260 	7499	597	0.5475	0.015656783429	0.43191202154438	yes
63	TCONS_00017261 	4666	597	0.5475	0.015656783429	0.47451241860778	yes
64	TCONS_00017262 	6716	597	0.5475	0.015656783429	0.44361294190187	yes
65	TCONS_00002271 	4037	384	0.7431	0.0201064676111	0.15151191398904	no
66	TCONS_00017263 	3395	672	0.5304	0.0354429750353	0.70327058227389	yes
67	TCONS_00029697 	1504	402	0.5222	-0.0623022925131	0.068335833959712	no
68	TCONS_00002279 	4657	414	0.5831	-0.0205676780827	0.099092583202322	no
69	TCONS_00029698 	712	207	0.6477	0.0790273939793	0.034049695318037	no
70	TCONS_00029699 	2639	264	0.7236	-0.0544448400031	0.029632616368548	no
71	TCONS_00029700 	985	294	0.7479	0.062252888861	0.098218310460034	no
72	TCONS_00029701 	1143	735	0.5423	0.170834717175	0.93163638011823	yes
73	TCONS_00029702 	1603	480	0.6016	-0.0717866169087	0.16961104662956	no
74	TCONS_00029703 	620	258	0.4553	-0.135303456151	0.008098627638562	no
75	TCONS_00029704 	1158	177	0.521	-0.245167001538	0.001955241259556	no
76	TCONS_00029705 	3317	519	0.7515	0.0662501184257	0.52786035066418	yes
77	TCONS_00029706 	1243	444	0.4705	-0.113166963399	0.066553968601308	no
78	TCONS_00029707 	1012	408	0.5332	-0.281303678467	0.019280762629874	no
79	TCONS_00029708 	2611	186	0.634	-0.091002437624	0.007742183579724	no
80	TCONS_00029709 	583	132	0.6811	-0.2418159812	0.002104132023701	no
81	TCONS_00029710 	877	339	0.8523	-0.0785155933566	0.089033526662386	no
82	TCONS_00029711 	1945	102	0.6765	-0.253704495705	0.001277283697367	no
83	TCONS_00029712 	1956	192	0.8728	0.0613622287405	0.047771289130008	no
84	TCONS_00029713 	636	150	0.7232	0.0189209241017	0.016038804095019	no
85	TCONS_00029714 	2570	192	0.8647	-0.0439413457017	0.022969001061386	no
86	TCONS_00029715 	664	123	0.9034	0.0181501754725	0.020854710374464	no
87	TCONS_00029716 	2947	291	0.7207	-0.0412192543479	0.041591621583574	no
88	TCONS_00029717 	884	228	0.5914	-0.191689442754	0.006102258942283	no
89	TCONS_00029718 	1179	102	0.8137	0.0518927250209	0.015270180823364	no
90	TCONS_00029719 	4194	267	0.4391	-0.0888732778427	0.009267061427423	no
91	TCONS_00029720 	652	147	0.7502	-0.287406552456	0.002265570220762	no
92	TCONS_00029722 	1958	303	0.7339	-0.0666576110321	0.044189772854332	no
93	TCONS_00029723 	1065	411	0.7926	-0.153058662216	0.096371489576322	no
94	TCONS_00029724 	1266	228	0.7063	0.0302655552642	0.035925782726891	no
95	TCONS_00018682 	2024	180	0.7957	-0.0837198527645	0.013042792209322	no
96	TCONS_00029725 	1110	111	0.8322	-0.293810405212	0.001852561786389	no
97	TCONS_00003649 	1911	282	0.788	-0.0209713259223	0.055901634500747	no
98	TCONS_00029726 	747	216	0.883	-0.230985775648	0.010377783698003	no
99	TCONS_00003650 	1618	279	0.9285	0.108454853183	0.17576506788985	no
100	TCONS_00029727 	864	120	0.7353	-0.168763193496	0.003484545632431	no
101	TCONS_00029728 	1029	240	0.5937	-0.0344605683586	0.019327356096225	no
102	TCONS_00029729 	436	27	0.649	-0.441350449491	0.00016550887199	no
103	TCONS_00029730 	1245	288	0.7498	-0.235515753586	0.013954930678169	no
104	TCONS_00029731 	956	111	0.6962	-0.330037582842	0.000961096230161	no
105	TCONS_00029732 	1332	261	0.7033	0.021150030186	0.047131047683917	no
106	TCONS_00029737 	904	309	0.7826	-0.110172951212	0.043961107659437	no
107	TCONS_00029738 	1339	90	0.6764	-0.134162348682	0.002558609047991	no
108	TCONS_00029739 	1183	105	0.7254	-0.274599518021	0.001403536361783	no
109	TCONS_00029740 	1116	150	0.7803	-0.130925770396	0.006994098133332	no
110	TCONS_00029741 	1307	183	0.5523	-0.219483988794	0.002700679338708	no
111	TCONS_00029742 	680	141	0.5331	-0.0359351039577	0.00561869446953	no
112	TCONS_00019595 	307	132	0.7065	-0.215628376508	0.002753075708758	no
113	TCONS_00029743 	894	141	0.4343	-0.145306114468	0.001982214405109	no
114	TCONS_00029744 	1320	333	0.5482	-0.127582979709	0.024204982801032	no
115	TCONS_00029745 	1063	195	0.8316	-0.475309369361	0.001387977458271	no
116	TCONS_00029746 	1218	135	0.6526	-0.027917729406	0.007804957925277	no
117	TCONS_00029747 	617	132	0.9257	0.00659362714033	0.022861431016587	no
118	TCONS_00029748 	1750	288	0.8263	-0.0850031107902	0.04502700133812	no
119	TCONS_00029749 	574	126	1.0208	-0.0133270723496	0.025328698506668	no
120	TCONS_00029750 	985	120	0.8832	0.0462916335759	0.022342017131686	no
121	TCONS_00029751 	437	69	0.8712	-0.0051755149765	0.00924553708563	no
122	TCONS_00029752 	1683	246	0.6665	-0.248940107077	0.006126946443346	no
123	TCONS_00029753 	1384	177	0.805	-0.0847252445172	0.01342151166244	no
124	TCONS_00029754 	931	369	0.5933	0.0515913342526	0.12355770979578	no
125	TCONS_00029755 	633	222	0.7036	-0.10827029496	0.014212661328269	no
126	TCONS_00029757 	950	201	0.8888	-0.0332982484011	0.032024297219835	no
127	TCONS_00029758 	907	75	0.956	-0.5300601914	0.000394664465767	no
128	TCONS_00029759 	862	261	0.4851	-0.0539537061174	0.015376027442795	no
129	TCONS_00029760 	998	267	0.5622	-0.0273855930219	0.024478460523653	no
130	TCONS_00029761 	1199	171	0.6177	-0.0219747850293	0.01071643726197	no
131	TCONS_00029762 	1668	309	0.6608	-0.156617844658	0.021557842479126	no
132	TCONS_00020428 	1256	168	0.985	-0.271622547071	0.006334776695725	no
133	TCONS_00029763 	1471	84	0.9129	-0.445521012623	0.000641363579758	no
134	TCONS_00029764 	571	144	0.732	-0.0952424588851	0.007365120285355	no
135	TCONS_00029765 	1569	108	0.6714	-0.367822483034	0.000646349736091	no
136	TCONS_00029766 	1168	153	0.5958	-0.158964724467	0.003364156688956	no
137	TCONS_00029767 	5999	321	0.8796	-0.0692544872301	0.063913183953633	no
138	TCONS_00005642 	1424	189	0.6824	-0.189393015192	0.005239168795545	no
139	TCONS_00005643 	2631	189	0.6824	-0.189393015192	0.004870740042335	no
140	TCONS_00005641 	921	189	0.6824	-0.189393015192	0.005400771513313	no
141	TCONS_00029768 	1418	210	0.5522	-0.28420992206	0.002342863873048	no
142	TCONS_00029769 	1810	159	0.4635	-0.133195575351	0.00270253173924	no
143	TCONS_00029770 	929	195	0.9086	-0.297033119529	0.005757988966173	no
144	TCONS_00029771 	1915	78	1.0346	-0.310131226113	0.002093500588335	no
145	TCONS_00029772 	424	87	0.9307	-0.153762706573	0.005101941206872	no
146	TCONS_00029773 	632	156	0.7323	-0.502186934136	0.000573339831604	no
147	TCONS_00029774 	1153	135	0.825	-0.365350153013	0.001460636170128	no
148	TCONS_00029775 	1186	198	0.7185	-0.155011340765	0.00821002358634	no
149	TCONS_00029776 	823	228	0.4757	-0.230498753641	0.003304922709284	no
150	TCONS_00029777 	5621	348	0.8316	-0.228641284005	0.027319041519765	no
151	TCONS_00029778 	1035	201	0.8192	-0.253167542181	0.006155537081711	no
152	TCONS_00029779 	748	111	0.8404	-0.227015238165	0.003016684055053	no
153	TCONS_00029780 	819	81	1.0936	-0.0837535716374	0.012275269153519	no
154	TCONS_00029781 	1582	267	0.6436	-0.0913337789863	0.020092766998212	no
155	TCONS_00029782 	1710	243	0.5338	-0.389797571692	0.001546939556283	no
156	TCONS_00029783 	862	141	0.611	-0.307978525532	0.001183060501712	no
157	TCONS_00029784 	759	81	0.7089	-0.475743277306	0.000279850508492	no
158	TCONS_00029785 	1208	195	0.7127	-0.313462518977	0.002752977351394	no
159	TCONS_00029786 	3168	204	0.5903	-0.133019834346	0.00601640952079	no
160	TCONS_00029787 	1337	228	0.8443	-0.11899552961	0.02091968032832	no
161	TCONS_00029788 	1587	216	0.5201	-0.14017173665	0.005770101054621	no
