test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
XLOC_005091	XLOC_005091	-	chr1:87236945-87240113	Control	Dengue	OK	0.847403	0.118619	-2.83671	-1.60998	0.00025	0.0161619	yes
XLOC_005121	XLOC_005121	-	chr1:95007536-95011280	Control	Dengue	OK	0.711568	0.088841	-3.0017	-1.36536	6e-04	0.0290656	yes
XLOC_005161	XLOC_005161	-	chr1:111187511-111192620	Control	Dengue	OK	0.991454	0.193112	-2.36011	-1.33637	6e-04	0.0290656	yes
XLOC_005183	XLOC_005183	-	chr1:120747162-120752475	Control	Dengue	OK	0.864071	0.0848361	-3.3484	-1.88219	5e-05	0.00504611	yes
XLOC_005185	XLOC_005185	-	chr1:120765396-120770013	Control	Dengue	OK	0.574483	0.102317	-2.48922	-1.49175	4e-04	0.0224272	yes
XLOC_005189	XLOC_005189	-	chr1:120802434-120822489	Control	Dengue	OK	0.516626	0.0956376	-2.43347	-1.89951	5e-05	0.00504611	yes
XLOC_005220	XLOC_005220	-	chr1:151916286-151918281	Control	Dengue	OK	2.93751	0.696224	-2.07697	-1.59749	3e-04	0.0187278	yes
XLOC_005447	XLOC_005447	-	chr1:206075181-206081553	Control	Dengue	OK	0.824389	0.0751721	-3.45506	-2.19145	5e-05	0.00504611	yes
XLOC_005448	XLOC_005448	-	chr1:206081618-206087716	Control	Dengue	OK	0.540885	0.0682059	-2.98735	-1.73515	3e-04	0.0187278	yes
XLOC_005450	XLOC_005450	-	chr1:206482228-206501419	Control	Dengue	OK	0.686837	0.0918367	-2.90283	-2.3699	5e-05	0.00504611	yes
XLOC_005553	XLOC_005553	-	chr1:236080970-236082624	Control	Dengue	OK	1.51879	0.183108	-3.05215	-1.79103	0.00025	0.0161619	yes
XLOC_011230	XLOC_011230	-	chr11:87939122-87943867	Control	Dengue	OK	0.36794	0.0563152	-2.70788	-1.48952	0.00095	0.0410898	yes
XLOC_014305	XLOC_014305	-	chr12:90124726-90130118	Control	Dengue	OK	2.20201	0.437188	-2.3325	-1.6013	5e-05	0.00504611	yes
XLOC_014307	XLOC_014307	-	chr12:90153320-90157905	Control	Dengue	OK	0.819114	0.112446	-2.86483	-1.70398	0.00015	0.0112599	yes
XLOC_015979	XLOC_015979	-	chr13:110323239-110327660	Control	Dengue	OK	0.450408	0.0174727	-4.68806	-1.9769	0.0013	0.048894	yes
XLOC_022730	XLOC_022730	-	chr16:57333660-57334474	Control	Dengue	OK	1.36522	5.67926	2.05657	1.56545	0.00045	0.0240432	yes
XLOC_025461	XLOC_025461	-	chr17:43647530-43661675	Control	Dengue	OK	0.503346	0.102764	-2.29222	-1.6801	1e-04	0.00848879	yes
XLOC_025532	XLOC_025532	-	chr17:75955292-75964437	Control	Dengue	OK	1.24374	0.421175	-1.56219	-1.41709	2e-04	0.0135063	yes
XLOC_030855	XLOC_030855	-	chr2:192539919-192542621	Control	Dengue	OK	10.9964	4.27561	-1.36282	-1.59067	0.00015	0.0112599	yes
XLOC_031164	XLOC_031164	-	chr2:230158076-230168294	Control	Dengue	OK	2.55622	0.942382	-1.43963	-1.34875	5e-05	0.00504611	yes
XLOC_031381	XLOC_031381	-	chr2:8524483-8530600	Control	Dengue	OK	0.493957	0.115979	-2.09053	-1.40141	0.00095	0.0410898	yes
