ID	C/NC	CODING_POTENTIAL_SCORE	EVIDENCE	UTR-DB_HITs	RNA-DB_HITs
TCONS_00307146 	noncoding 	-1.50964 	detail 	search 	search
TCONS_00172097 	noncoding 	-1.50658 	detail 	search 	search
TCONS_00248719 	noncoding 	-1.48788 	detail 	search 	search
TCONS_00145629 	noncoding 	-1.48692 	detail 	search 	search
TCONS_00278328 	noncoding 	-1.48677 	detail 	search 	search
TCONS_00329284 	noncoding 	-1.48461 	detail 	search 	search
TCONS_00264623 	noncoding 	-1.47744 	detail 	search 	search
TCONS_00278827 	noncoding 	-1.47498 	detail 	search 	search
TCONS_00248840 	noncoding 	-1.47373 	detail 	search 	search
TCONS_00264077 	noncoding 	-1.4732 	detail 	search 	search
TCONS_00278319 	noncoding 	-1.4727 	detail 	search 	search
TCONS_00235665 	noncoding 	-1.47217 	detail 	search 	search
TCONS_00086547 	noncoding 	-1.47027 	detail 	search 	search
TCONS_00311306 	noncoding 	-1.46795 	detail 	search 	search
TCONS_00307149 	noncoding 	-1.46777 	detail 	search 	search
TCONS_00329320 	noncoding 	-1.4639 	detail 	search 	search
TCONS_00264076 	noncoding 	-1.46388 	detail 	search 	search
TCONS_00204064 	noncoding 	-1.45479 	detail 	search 	search
TCONS_00110753 	noncoding 	-1.44543 	detail 	search 	search
TCONS_00029657 	noncoding 	-1.4454 	detail 	search 	search
TCONS_00319072 	noncoding 	-1.4442 	detail 	search 	search
TCONS_00196299 	noncoding 	-1.43783 	detail 	search 	search
TCONS_00110763 	noncoding 	-1.43781 	detail 	search 	search
TCONS_00061608 	noncoding 	-1.43267 	detail 	search 	search
TCONS_00248864 	noncoding 	-1.43157 	detail 	search 	search
TCONS_00172150 	noncoding 	-1.42139 	detail 	search 	search
TCONS_00151531 	noncoding 	-1.42085 	detail 	search 	search
TCONS_00125846 	noncoding 	-1.41981 	detail 	search 	search
TCONS_00235602 	noncoding 	-1.41936 	detail 	search 	search
TCONS_00061773 	noncoding 	-1.41404 	detail 	search 	search
TCONS_00307226 	noncoding 	-1.41224 	detail 	search 	search
TCONS_00196322 	noncoding 	-1.41215 	detail 	search 	search
TCONS_00145624 	noncoding 	-1.41164 	detail 	search 	search
TCONS_00080776 	noncoding 	-1.41138 	detail 	search 	search
TCONS_00147434 	noncoding 	-1.40956 	detail 	search 	search
TCONS_00151496 	noncoding 	-1.40747 	detail 	search 	search
TCONS_00030041 	noncoding 	-1.40621 	detail 	search 	search
TCONS_00248756 	noncoding 	-1.40555 	detail 	search 	search
TCONS_00029747 	noncoding 	-1.4041 	detail 	search 	search
TCONS_00219732 	noncoding 	-1.40404 	detail 	search 	search
TCONS_00125849 	noncoding 	-1.40302 	detail 	search 	search
TCONS_00260604 	noncoding 	-1.40295 	detail 	search 	search
TCONS_00042080 	noncoding 	-1.40292 	detail 	search 	search
TCONS_00098696 	noncoding 	-1.4023 	detail 	search 	search
TCONS_00125836 	noncoding 	-1.40122 	detail 	search 	search
TCONS_00307322 	noncoding 	-1.40079 	detail 	search 	search
TCONS_00030189 	noncoding 	-1.40065 	detail 	search 	search
TCONS_00307346 	noncoding 	-1.40063 	detail 	search 	search
TCONS_00086454 	noncoding 	-1.39965 	detail 	search 	search
TCONS_00080774 	noncoding 	-1.39932 	detail 	search 	search
TCONS_00278593 	noncoding 	-1.39927 	detail 	search 	search
