ID	C/NC	CODING_POTENTIAL_SCORE	EVIDENCE	UTR-DB_HITs	RNA-DB_HITs
TCONS_00163948 	noncoding 	-1.54161 	detail 	search 	search
TCONS_00304897 	noncoding 	-1.528 	detail 	search 	search
TCONS_00293507 	noncoding 	-1.50964 	detail 	search 	search
TCONS_00076704 	noncoding 	-1.49119 	detail 	search 	search
TCONS_00265863 	noncoding 	-1.48698 	detail 	search 	search
TCONS_00138826 	noncoding 	-1.48692 	detail 	search 	search
TCONS_00082126 	noncoding 	-1.47526 	detail 	search 	search
TCONS_00266375 	noncoding 	-1.47498 	detail 	search 	search
TCONS_00119807 	noncoding 	-1.47416 	detail 	search 	search
TCONS_00237515 	noncoding 	-1.47373 	detail 	search 	search
TCONS_00265854 	noncoding 	-1.4727 	detail 	search 	search
TCONS_00224765 	noncoding 	-1.47217 	detail 	search 	search
TCONS_00082252 	noncoding 	-1.47027 	detail 	search 	search
TCONS_00293512 	noncoding 	-1.46777 	detail 	search 	search
TCONS_00314636 	noncoding 	-1.4639 	detail 	search 	search
TCONS_00028284 	noncoding 	-1.45752 	detail 	search 	search
TCONS_00252157 	noncoding 	-1.45723 	detail 	search 	search
TCONS_00194545 	noncoding 	-1.45405 	detail 	search 	search
TCONS_00297512 	noncoding 	-1.45343 	detail 	search 	search
TCONS_00105437 	noncoding 	-1.45267 	detail 	search 	search
TCONS_00028285 	noncoding 	-1.44551 	detail 	search 	search
TCONS_00314610 	noncoding 	-1.44508 	detail 	search 	search
TCONS_00058631 	noncoding 	-1.44186 	detail 	search 	search
TCONS_00187069 	noncoding 	-1.43783 	detail 	search 	search
TCONS_00058519 	noncoding 	-1.43267 	detail 	search 	search
TCONS_00237420 	noncoding 	-1.42838 	detail 	search 	search
TCONS_00040053 	noncoding 	-1.42716 	detail 	search 	search
TCONS_00058513 	noncoding 	-1.4261 	detail 	search 	search
TCONS_00281632 	noncoding 	-1.4244 	detail 	search 	search
TCONS_00144531 	noncoding 	-1.42002 	detail 	search 	search
TCONS_00119878 	noncoding 	-1.41981 	detail 	search 	search
TCONS_00224700 	noncoding 	-1.41936 	detail 	search 	search
TCONS_00304826 	noncoding 	-1.41633 	detail 	search 	search
TCONS_00293796 	noncoding 	-1.41547 	detail 	search 	search
TCONS_00182206 	noncoding 	-1.4153 	detail 	search 	search
TCONS_00304731 	noncoding 	-1.41453 	detail 	search 	search
TCONS_00058667 	noncoding 	-1.41404 	detail 	search 	search
TCONS_00187092 	noncoding 	-1.41215 	detail 	search 	search
TCONS_00138821 	noncoding 	-1.41164 	detail 	search 	search
TCONS_00076663 	noncoding 	-1.41138 	detail 	search 	search
TCONS_00266259 	noncoding 	-1.41101 	detail 	search 	search
TCONS_00251907 	noncoding 	-1.41098 	detail 	search 	search
TCONS_00041079 	noncoding 	-1.41064 	detail 	search 	search
TCONS_00039940 	noncoding 	-1.40826 	detail 	search 	search
TCONS_00293535 	noncoding 	-1.40785 	detail 	search 	search
TCONS_00144497 	noncoding 	-1.40747 	detail 	search 	search
TCONS_00237414 	noncoding 	-1.40555 	detail 	search 	search
TCONS_00119881 	noncoding 	-1.40302 	detail 	search 	search
TCONS_00093830 	noncoding 	-1.4023 	detail 	search 	search
TCONS_00119870 	noncoding 	-1.40222 	detail 	search 	search
TCONS_00293683 	noncoding 	-1.40079 	detail 	search 	search
TCONS_00028809 	noncoding 	-1.40065 	detail 	search 	search
TCONS_00293692 	noncoding 	-1.40053 	detail 	search 	search
TCONS_00082153 	noncoding 	-1.39965 	detail 	search 	search
TCONS_00076661 	noncoding 	-1.39932 	detail 	search 	search
TCONS_00194624 	noncoding 	-1.39877 	detail 	search 	search
TCONS_00251926 	noncoding 	-1.39801 	detail 	search 	search
TCONS_00040180 	noncoding 	-1.39747 	detail 	search 	search
TCONS_00304763 	noncoding 	-1.39719 	detail 	search 	search
TCONS_00082143 	noncoding 	-1.39527 	detail 	search 	search
TCONS_00058632 	noncoding 	-1.39518 	detail 	search 	search
TCONS_00028886 	noncoding 	-1.39425 	detail 	search 	search
TCONS_00289235 	noncoding 	-1.39361 	detail 	search 	search
TCONS_00028890 	noncoding 	-1.3923 	detail 	search 	search
TCONS_00028397 	noncoding 	-1.39221 	detail 	search 	search
TCONS_00304836 	noncoding 	-1.39145 	detail 	search 	search
TCONS_00251974 	noncoding 	-1.39089 	detail 	search 	search
TCONS_00314555 	noncoding 	-1.39089 	detail 	search 	search
TCONS_00205493 	noncoding 	-1.39085 	detail 	search 	search
TCONS_00187030 	noncoding 	-1.39002 	detail 	search 	search
TCONS_00028531 	noncoding 	-1.38986 	detail 	search 	search
TCONS_00237393 	noncoding 	-1.38985 	detail 	search 	search
TCONS_00187526 	noncoding 	-1.38911 	detail 	search 	search
TCONS_00304893 	noncoding 	-1.38847 	detail 	search 	search
TCONS_00076690 	noncoding 	-1.38793 	detail 	search 	search
TCONS_00082265 	noncoding 	-1.38756 	detail 	search 	search
TCONS_00076633 	noncoding 	-1.38706 	detail 	search 	search
TCONS_00266098 	noncoding 	-1.38592 	detail 	search 	search
TCONS_00187105 	noncoding 	-1.38586 	detail 	search 	search
TCONS_00028698 	noncoding 	-1.38569 	detail 	search 	search
TCONS_00194651 	noncoding 	-1.3855 	detail 	search 	search
TCONS_00198327 	noncoding 	-1.38413 	detail 	search 	search
TCONS_00224615 	noncoding 	-1.38367 	detail 	search 	search
TCONS_00039930 	noncoding 	-1.38345 	detail 	search 	search
TCONS_00076749 	noncoding 	-1.38297 	detail 	search 	search
TCONS_00237355 	noncoding 	-1.38255 	detail 	search 	search
TCONS_00138657 	noncoding 	-1.3823 	detail 	search 	search
TCONS_00251775 	noncoding 	-1.38182 	detail 	search 	search
TCONS_00293555 	noncoding 	-1.38154 	detail 	search 	search
TCONS_00028413 	noncoding 	-1.38127 	detail 	search 	search
TCONS_00028679 	noncoding 	-1.38121 	detail 	search 	search
TCONS_00266133 	noncoding 	-1.38092 	detail 	search 	search
TCONS_00293728 	noncoding 	-1.38013 	detail 	search 	search
TCONS_00205467 	noncoding 	-1.37952 	detail 	search 	search
TCONS_00187505 	noncoding 	-1.37904 	detail 	search 	search
TCONS_00302106 	noncoding 	-1.37855 	detail 	search 	search
TCONS_00304783 	noncoding 	-1.37854 	detail 	search 	search
TCONS_00224417 	noncoding 	-1.37808 	detail 	search 	search
